-1953718434;Hidrocerusita;-2144973636;2PbCO_3_·Pb(OH)_2_;44,00;3,60;62,00;3,28;100,00;2,63;(104);(015);(110)(009)
343553395;Calcita;-2130816986;CaCO_3_;100,00;3,03;10,00;2,28;8,00;2,09;(104);(113);(202)
-945802536;lignito;-2099838983;O;0,00;0,00;0,00;0,00;0,00;0,00;();();()
-112989684;Hematite;-2079748326;Fe_2_O_3_;100,00;2,69;50,00;2,52;20,00;1,69;(104);(110);(116)
1623894932;Calcita;-2064954398;CaCO_3_;100,00;3,03;24,00;2,28;23,00;2,09;(104);(113);(202)
1831014166;Cromato básico de plomo;-2043188513;PbO·Pb(CrO_4_);100,00;3,39;89,00;2,99;49,00;2,84;(310);(-112);(020)
-113531541;Baritina;-1951115887;BaSO_4_;100,00;3,12;16,00;3,45;11,00;2,12;(211);(210);(113)
-934693032;Óxido de Cromo;-1917957511;Cr_2_O_3_;100,00;2,66;97,00;2,48;87,00;1,67;(104);(110);(116)
86481633;Sulfo-seleniuro de Cadmio;-1872994418;Cd(S,Se);100,00;3,63;94,00;2,09;91,00;3,40;(100);(110);(002)
-112989684;Calcita;-1866497133;CaCO_3_;100,00;3,03;20,00;2,28;20,00;2,09;(104);(113);(202)
965040524;Óxido de Titanio;-1847294563;TiO_2_;100,00;3,25;55,00;1,68;44,00;2,48;(110);(211);(101)
-404679018;Calcita;-1831627355;CaCO_3_;100,00;3,03;18,00;2,28;15,00;2,09;(104);(113);(202)
965212278;Carbón;-1784631105;C;0,00;0,00;0,00;0,00;0,00;0,00;();();()
192318106;Fucsina;-1746493504;C_20_H_19_N_3_HCl;0,00;0,00;0,00;0,00;0,00;0,00;();();()
-2020862913;Calcita;-1723912059;CaCO_3_;100,00;3,03;13,00;2,28;11,00;2,09;(104);(113);(202)
-786568242;Baritina;-1695797588;BaSO_4_;100,00;2,12;70,00;3,10;65,00;3,44;(113);(211);(210)
145188355;Hematite;-1663852408;Fe_2_O_3_;100,00;2,70;82,00;2,51;41,00;1,69;(104);(110);(116)
1832171382;Baritina;-1634188353;BaSO_4_;100,00;3,45;96,00;3,10;83,00;2,12;(210);(211);(113)
-2003110340;Calcita;-1619578739;CaCO_3_;100,00;3,03;18,00;2,28;18,00;2,09;(104);(113);(202)
641511147;Hematite;-1584275120;Fe_2_O_3_;100,00;2,70;43,00;2,51;38,00;1,69;(104);(110);(116)
1265606333;Hidroxiapatito;-1572997325;Ca_5_(PO_4_)_3_OH;100,00;2,81;87,00;2,78;71,00;2,73;(211);(112);(300)
-1113940070;Calcita;-1542297069;CaCO_3_;100,00;3,03;16,00;2,28;16,00;2,09;(104);(113);(202)
192318106;Calcita;-1461929709;CaCO_3_;100,00;3,03;24,00;2,28;24,00;2,09;(104);(113);(202)
-547207753;Hematite;-1448563924;Fe_2_O_3_;100,00;2,70;82,00;2,51;42,00;1,69;(104);(110);(116)
1437408643;Calcita;-1447960056;CaCO_3_;100,00;3,03;18,00;2,28;18,00;2,09;(104);(113);(202)
1735715845;Hematite;-1288165957;Fe_2_O_3_;100,00;2,69;31,00;1,69;27,00;1,84;(104);(116);(024)
1818416203;Calcita;-1277512912;CaCO_3_;100,00;3,03;20,00;2,09;15,00;2,28;(104);(202);(113)
473550370;Goethita;-1156732640;FeO·OH;100,00;2,69;26,00;2,44;21,00;4,17;(130);(111);(110)
932893164;Sulfuro de Cadmio;-1110380931;CdS;100,00;3,61;91,00;3,19;87,00;3,39;(100);(101);(002)
-74031113;Hematite;-1100560276;Fe_2_O_3_;100,00;2,69;58,00;2,51;44,00;1,69;(104);(110);(116)
-74031113;Cuarzo;-1082846086;SiO_2_;100,00;3,34;26,00;2,28;21,00;4,26;(101);(012);(100)
-2020862913;Goethita;-1020341300;FeO·OH;100,00;2,44;85,00;4,18;68,00;2,69;(111);(110);(130)
343553395;Hematite;-1019168968;Fe_2_O_3_;100,00;2,70;60,00;2,51;35,00;1,69;(104);(110);(116)
-1962310268;Calcita;-878637003;CaCO_3_;100,00;3,03;19,00;2,28;17,00;2,09;(104);(113);(202)
1923900685;Dolomita;-849907382;CaMg(CO_3_)_2_;100,00;2,89;29,00;2,19;17,00;1,78;(104);(103);(116)
-833397323;Sulfuro de Cadmio;-820504878;CdS;100,00;3,37;60,00;2,06;44,00;1,76;(002);(110);(112)
473550370;Magnetita;-816219487;Fe_3_O_4_;100,00;2,52;43,00;1,48;25,00;2,96;(311);(440);(220)
-1133331395;Calcita;-745937734;CaCO_3_;100,00;3,03;23,00;2,28;23,00;2,09;(104);(113);(202)
1904273445;Calcita;-730198910;CaCO_3_;100,00;3,03;21,00;2,09;18,00;2,28;(104);(202);(113)
-786568242;Ácido Carmínico;-611734427;C_22_H_20_O_13_;0,00;0,00;0,00;0,00;0,00;0,00;();();()
433926521;Wurtzita;-565888945;ZnS;100,00;3,12;88,00;3,31;53,00;2,92;(002);(100);(101)
-2001314250;orgánico;-533523585;CH;0,00;0,00;0,00;0,00;0,00;0,00;();();()
1735715845;Magnetita;-472253726;Fe_3_O_4_;100,00;2,52;41,00;1,48;29,00;1,96;(311);(440);(220)
-113531541;Cromato de plomo y Molibdeno;-371575344;Pb(Cr_19_Mo_11_)O_4_;100,00;3,12;85,00;3,22;18,00;2,02;();();()
-655717905;Lazurita;-370738940;(NaCa)_8_(AlSiO_4_)_6_(SO_4_,S,Cl)_2_;100,00;2,88;90,00;3,70;27,00;2,62;(310);(211);(222)
-1224772568;Cromato básico de zinc y de potasio trihidratado;-280798455;K_2_Zn_4_O(CrO_4_)_4_·3H_2_O;100,00;2,60;94,00;3,30;79,00;3,07;(221);(112);(212)
965208962;Cuarzo;-179144831;SiO_2_;100,00;3,34;48,00;4,18;48,00;2,45;(101);(100);(110)
-2001314250;Baritina;-161316192;BaSO_4_;0,00;0,00;0,00;0,00;0,00;0,00;();();()
1818416203;Baritina;-160522383;BaSO_4_;100,00;3,44;84,00;3,10;68,00;2,12;(210);(211);(113)
1904273445;Ftalocianina de cobre policloro;-144924055;C_32_H_16_CuN_8_Cl_15_;0,00;0,00;0,00;0,00;0,00;0,00;();();()
-772304850;Magnetita;-108155881;Fe_3_O_4_;100,00;2,52;30,00;1,48;30,00;2,96;(311);(440);(220)
1735715845;Goethita;-91970592;FeO·OH;100,00;2,69;45,00;4,18;29,00;2,44;(130);(110);(111)
184857798;Goethita;-37901617;FeO·OH;100,00;4,18;72,00;2,45;62,00;2,69;(110);(111);(130)
-2020862913;Cuarzo;-34405022;SiO_2_;100,00;3,34;22,00;4,25;11,00;1,81;(101);(100);(112)
1831014166;Baritina;-25025740;BaSO_4_;100,00;3,11;60,00;3,44;51,00;2,12;(211);(210);(113)
1437408643;Ftalocianina de Cobre (II);-11015319;Cu(C_32_H_16_N_8_);0,00;0,00;0,00;0,00;0,00;0,00;();();()
-933917056;Cromato de Estroncio;8067246;SrCrO_4_;100,00;3,25;63,00;3,45;0,00;0,00;(120);(200);()
-1113940070;Pirofosfato de amonio y manganeso;41083510;Mn(NH_4_)_2_P_2_O_7_;0,00;0,00;0,00;0,00;0,00;0,00;();();()
2144062790;Calcita;79690063;CaCO_3_;100,00;3,03;24,00;2,09;21,00;2,28;(104);(202);(113)
433926521;Baritina;127166534;BaSO_4_;100,00;3,09;80,00;3,43;50,00;2,11;(211);(210);(113)
-1962310268;Ácido Carmínico;204496155;C_22_H_20_O_13_;0,00;0,00;0,00;0,00;0,00;0,00;();();()
-1932010475;Calcita;233606578;CaCO_3_;100,00;3,03;19,00;2,28;17,00;2,09;(104);(113);(202)
-359858076;Magnetita;237169045;Fe_3_O_4_;100,00;2,52;43,00;1,48;29,00;2,96;(311);(440);(220)
965208962;Hematite;284897755;Fe_2_O_3_;100,00;2,70;69,00;2,51;39,00;1,69;(104);(110);(116)
-786568242;Calcita;295536439;CaCO_3_;100,00;3,04;20,00;2,28;19,00;2,09;(104);(113);(202)
-359858076;Hematite;373222706;Fe_2_O_3_;100,00;2,52;71,00;2,70;29,00;1,69;(110);(104);(116)
-1133331395;Aceto-arsenito de cobre;386962625;Cu(C_2_H_3_O_2_)_2_·3Cu(AsO_2_)_2_;0,00;0,00;0,00;0,00;0,00;0,00;();();()
1904273445;Baritina;389086939;BaSO_4_;100,00;3,43;71,00;3,09;70,00;2,11;(210);(211);(113)
-359858076;Calcita;394403504;CaCO_3_;100,00;3,03;20,00;2,28;19,00;2,09;(104);(113);(202)
473550370;Calcita;438776910;CaCO_3_;100,00;3,03;62,00;2,09;24,00;2,28;(104);(202);(113)
965208962;Goethita;447907200;FeO·OH;100,00;4,18;15,00;2,70;15,00;2,45;(110);(130);(111)
1623894932;Baritina;449257733;BaSO_4_;100,00;3,10;86,00;3,44;66,00;2,12;(211);(210);(113)
1818416203;Yeso;468815070;CaSO_4_2H_2_O;100,00;7,59;43,00;3,06;33,00;4,29;(202);(14-1);(12-1)
-404679018;Cuarzo;471692980;SiO_2_;100,00;3,34;28,00;4,26;16,00;1,81;(101);(100);(112)
-112989684;Goethita;473361437;FeO·OH;100,00;4,18;75,00;2,69;72,00;2,45;(110);(130);(111)
-212882793;Aceto-arsenito de cobre;516918254;Cu(C_2_H_3_O_2_)_2_·3Cu(AsO_2_)_2_;0,00;0,00;0,00;0,00;0,00;0,00;();();()
-1133331395;Baritina;524046515;BaSO_4_;100,00;2,12;65,00;3,09;56,00;3,43;(113);(211);(210)
1832171382;Kermes;576815764;C_16_H_10_O_8_;0,00;0,00;0,00;0,00;0,00;0,00;();();()
192318106;Baritina;584292952;BaSO_4_;100,00;3,10;93,00;3,44;67,00;2,12;(211);(210);(113)
-74031113;Calcita;654412484;CaCO_3_;100,00;3,02;18,00;2,28;15,00;2,08;(104);(113);(200)
2144062790;Baritina;676727746;BaSO_4_;0,00;0,00;0,00;0,00;0,00;0,00;();();()
641511147;Calcita;739305470;CaCO_3_;100,00;3,03;19,00;2,28;15,00;2,09;(104);(113);(202)
343553395;Cuarzo;754746585;SiO_2_;100,00;2,28;10,00;3,34;7,00;4,28;(102);(101);(100)
-384958917;Lazurita;832483936;(NaCa)_8_(AlSiO_4_)_6_(SO_4_,S,Cl)_2_;100,00;3,72;30,00;2,63;16,00;2,88;(211);(222);(310)
-404679018;Goethita;878427231;FeO·OH;100,00;2,45;81,00;4,18;49,00;2,69;(111);(110);(130)
-933917056;Baritina;890309761;BaSO_4_;100,00;3,45;32,00;3,10;21,00;2,12;(210);(211);(113)
1623894932;Fosfato de cobalto;971169908;Co_3_(PO_4_)_2_;0,00;0,00;0,00;0,00;0,00;0,00;();();()
1818416203;Ftalocianica de cobre;973507042;Cu(C_32_H_16_N_8_);0,00;0,00;0,00;0,00;0,00;0,00;();();()
-1932010475;Kermes;982145138;C_16_H_10_O_8_;0,00;0,00;0,00;0,00;0,00;0,00;();();()
641511147;Cuarzo;991066897;SiO_2_;100,00;2,28;32,00;3,34;11,00;4,21;(102);(101);(100)
-863236511;Óxido de Hierro y Cobalto;1019849998;(CoFeO_2_)O_4_;100,00;2,53;37,00;1,48;34,00;2,96;(021);(220);(110)
-2003110340;Cromato de Plomo;1070741194;PbCrO_4_;100,00;3,03;53,00;3,27;30,00;3,47;(012);(120);(200)
473550370;Hematite;1138477051;Fe_2_O_3_;100,00;2,52;38,00;2,69;15,00;1,69;(110);(104);(116)
-1962310268;Yeso;1142912850;CaSO_4_2H_2_O;100,00;7,57;57,00;3,06;43,00;4,27;(020);(14-1);(12-1)
-212882793;Baritina;1148391069;BaSO_4_;100,00;3,43;50,00;3,09;39,00;2,11;(210);(211);(113)
-359858076;Goethita;1152032203;FeO·OH;100,00;2,70;70,00;4,18;60,00;2,44;(130);(110);(111)
452033653;Goethita;1183055506;FeO·OH;100,00;4,19;88,00;2,48;53,00;2,69;(110);(111);(130)
1265606333;Carbón;1232909626;C;0,00;0,00;0,00;0,00;0,00;0,00;();();()
-212882793;Calcita;1258595980;CaCO_3_;100,00;3,03;22,00;2,28;16,00;2,09;(104);(113);(202)
1818416203;Cromato de plomo;1334130439;PbCrO_4_;100,00;3,02;25,00;2,09;6,00;3,27;(012);(212);(120)
965208962;Calcita;1377626030;CaCO_3_;100,00;3,03;19,00;2,28;15,00;2,09;(104);(113);(202)
2144062790;Cinabrio;1484508388;HgS;0,00;0,00;0,00;0,00;0,00;0,00;();();()
1661435110;Magnetita;1577556079;Fe_3_O_4_;100,00;2,52;30,00;1,48;28,00;2,96;(311);(440);(220)
-863236511;Baritina;1584267127;BaSO_4_;100,00;3,43;90,00;3,09;82,00;2,12;(210);(211);(113)
-1953718434;Cerusita;1617328007;PbCO_3_;100,00;3,60;39,00;1,58;50,00;1,58;(111);(113);(241)
762144745;Óxido de Zinc;1960221174;ZnO;100,00;2,47;59,00;2,81;44,00;2,60;(101);(100);(002)
