10;-2020862913;Ocre Claro;0;Ocre Claro.txt;63,94;7,95;28,19;33,30;32,72;17,92;0,39;0,38;581,00;yO;Ocre Claro drx.txt;Ocre Claro ir.txt;60º;7,3 mW
7;-2003110340;Amarillo de Cromo;0;Amarillo de Cromo.txt;300,00;300,00;300,00;300,00;-1,00;300,00;0,43;0,44;577,00;Y;Amarillo de Cromo drx.txt;Amarillo de Cromo ir.txt;60º;7,3 mW
2;-2001314250;Verde Intorsol;0;Verde Intorsol.txt;23,69;-5,16;-3,25;3,47;4,00;5,00;0,27;0,32;488,00;BG;Verde Intorsol drx.txt;Verde Intorsol ir.txt;70º;7,3 mW
9;-1962310268;Carmín;0;Carmín.txt;44,64;39,59;18,28;20,72;14,28;8,73;0,47;0,32;613,00;rO;Carmín drx.txt;Carmín ir.txt;0;0
1;-1953718434;Albayalde;1;Albayalde.txt;92,64;-1,23;0,51;77,44;82,14;88,65;0,31;0,33;0,00; -;Albayalde drx.txt;Albayalde ir.txt;0º;160 mW
9;-1932010475;Rojo Normal;0;Rojo Normal.txt;48,40;42,71;20,08;24,97;17,11;10,23;0,47;0,32;613,00;rO;Rojo Normal drx.txt;Rojo Normal ir.txt;0º;160 mW
7;-1224772568;Amarillo de Zinc;0;Amarillo de Zinc.txt;300,00;300,00;300,00;300,00;-1,00;300,00;0,42;0,46;573,00;gY;Amarillo de Zinc drx.txt;Amarillo de Zinc ir.txt;60º;7,3 mW
2;-1133331395;Verde Esmeralda Oscuro;0;Verde Esmeralda Oscuro.txt;43,10;-31,65;-3,14;8,44;13,22;15,76;0,22;0,35;494,00;bG;Verde Esmeralda Oscuro drx.txt;Verde Esmeralda Oscuro ir.txt;60º;7,3 mW
4;-1113940070;Violeta de manganeso;0;Violeta de manganeso.txt;60,33;18,51;-23,61;31,90;28,49;50,85;0,28;0,25;430,00;bP;Violeta de manganeso drx.txt;Violeta de manganeso ir.txt;60º;7,3 mW
10;-945802536;Tierra Cassel;0;Tierra Cassel.txt;26,68;1,20;4,20;4,82;4,98;4,54;0,33;0,34;580,00;Y;Tierra Cassel drx.txt;Tierra Cassel ir.txt;0º;160 mW
2;-934693032;Óxido de Cromo Verde;0;Óxido de Cromo Verde.txt;41,21;-16,70;14,82;9,23;11,99;8,00;0,31;0,41;553,00;yG;Óxido de Cromo Verde drx.txt;Óxido de Cromo Verde ir.txt;60º;7,3 mW
7;-933917056;Amarillo de estroncio;0;Amarillo de estroncio.txt;300,00;300,00;300,00;300,00;-1,00;300,00;0,46;0,47;577,00;Y;Amarillo de estroncio drx.txt;Amarillo de estroncio ir.txt;60º;7,3 mW
2;-863236511;Verde Cobalto;0;Verde Cobalto.txt;44,25;-25,76;11,39;9,73;14,01;10,76;0,28;0,40;250,00;G;Verde Cobalto drx.txt;Verde Cobalto ir.txt;70º;0
7;-833397323;Amarillo Cadmio;0;Amarillo Cadmio.txt;300,00;300,00;300,00;300,00;-1,00;300,00;0,49;0,44;583,00;yO;Amarillo Cadmio drx.txt;Amarillo Cadmio ir.txt;60º;7,3 mW
9;-786568242;Carmín Intenso;0;Carmín Intenso.txt;44,88;51,45;14,12;23,50;14,45;10,19;0,48;0,30;493,00;R;Carmín Intenso drx.txt;Carmín Intenso ir.txt;0;0
6;-772304850;Negro Viña;0;Negro Viña.txt;25,78;-0,42;2,09;4,40;4,67;4,65;0,32;0,34;0,00;-;Negro Viña drx.txt;Negro Viña ir.txt;30º;78,5 mW
3;-655717905;Azul Ultramar;0;Azul Ultramar.txt;34,63;27,85;-57,27;11,32;8,31;41,09;0,18;0,13;468,00;B;Azul Ultramar drx.txt;Azul Ultramar ir.txt;60º;7,3 mW
9;-547207753;Almagre;0;Almagre.txt;36,43;17,83;17,83;11,87;9,23;5,19;0,45;0,35;598,00;rO;Almagre drx.txt;Almagre ir.txt;60º;7,3 mW
10;-404679018;Sombra Natural;0;Sombra Natural.txt;41,26;1,71;14,11;11,66;12,02;8,23;0,36;0,37;578,00;Y;Sombra Natural drx.txt;Sombra Natural ir.txt;30º;78,5 mW
4;-384958917;Violeta Ultramar;0;Violeta Ultramar.txt;47,35;18,53;-23,42;18,84;16,28;31,74;0,28;0,24;564,00;bP;Violeta Ultramar drx.txt;Violeta Ultramar ir.txt;60º;7,3 mW
10;-359858076;Sombra Calcinada;0;Sombra Calcinada.txt;43,78;13,65;20,28;15,18;13,68;7,71;0,41;0,37;587,00;O;Sombra Calcinada drx.txt;Sombra Calcinada ir.txt;60º;7,3 mW
2;-212882793;Verde Esmeralda;0;Verde Esmeralda.txt;65,15;-37,63;-4,85;23,12;34,23;41,26;0,23;0,34;494,00;bG;Verde Esmeralda drx.txt;Verde Esmeralda ir.txt;60º;7,3 mW
8;-113531541;Escarlata de Molibdeno;0;Escarlata de Molibdeno.txt;51,71;48,32;41,69;29,92;19,88;5,74;0,53;0,35;600,00;rO;Escarlata de Molibdeno drx.txt;Escarlata de Molibdeno ir.txt;70º ;0
10;-112989684;Siena Natural;0;Siena Natural.txt;55,07;10,35;36,08;24,14;22,99;8,78;0,43;0,41;581,00;yO;Siena Natural drx.txt;Siena Natural ir.txt;30;0
9;-74031113;Óxido de Hierro Gloria;0;Óxido de Hierro Gloria.txt;35,56;18,28;14,58;10,57;8,78;5,58;0,42;0,35;596,00;rO;Óxido de Hierro Gloria drx.txt;Óxido de Hierro Gloria ir.txt;60º;7,3 mW
9;86481633;Rojo Cadmio;0;Rojo Cadmio.txt;41,77;48,53;27,74;20,02;12,35;5,04;0,53;0,33;611,00;rO;Rojo Cadmio drx.txt;Rojo Cadmio ir.txt;60º;7,3 mW
9;145188355;Óxido de Hierro Rojo Sintético;0;Óxido de Hierro Rojo Sintético.txt;33,34;20,15;14,81;9,59;7,69;4,71;0,43;0,34;598,00;O;Óxido de Hierro Rojo Sintético drx.txt;Óxido de Hierro Rojo Sintético ir.txt;30º;78,5 mW
10;184857798;Ocre Superior;0;Ocre Superior.txt;59,21;8,55;47,36;28,00;27,25;7,58;0,44;0,43;580,00;Y;Ocre Superior drx.txt;Ocre Superior ir.txt;30º;78,5 mW
5;192318106;Magenta;0;Magenta.txt;42,72;47,08;-2,72;20,56;12,97;15,28;0,42;0,26;498,00;pR;Magenta drx.txt;Magenta ir.txt;60º ;7,3 mW
10;343553395;Siena Tostada;0;Siena Tostada.txt;40,13;11,63;10,71;12,39;11,32;8,67;0,38;0,34;592,00;O;Siena Tostada drx.txt;Siena Tostada ir.txt;60º;7,3 mW
1;433926521;Blanco Litopón;0;Blanco Litopón.txt;93,10;-4,22;4,28;76,94;83,19;84,48;0,31;0,34;0,00;-;Blanco Litopón drx.txt;Blanco Litopón ir.txt;0;160 mW
7;452033653;Óxido de Hierro Amarillo Sintético;0;Óxido de Hierro Amarillo Sintético.txt;60,80;7,62;47,11;29,52;29,02;8,44;0,44;0,43;579,00;Y;Óxido de Hierro Amarillo Sintético drx.txt;Óxido de Hierro Amarillo Sintético ir.txt;60º ;7,3 mW
10;473550370;Siena Calcinada;0;Siena Calcinada.txt;33,03;3,60;8,56;7,54;7,55;5,96;0,35;0,35;582,00;yO;Siena Calcinada drx.txt;Siena Calcinada ir.txt;0º;160 mW
9;641511147;Tierra Roja;0;Tierra Roja.txt;38,54;16,28;14,35;12,07;10,39;6,88;0,41;0,35;594,00;O;Tierra Roja drx.txt;Tierra Roja ir.txt;50º;0
1;762144745;Óxido de Zinc;0;Óxido de Zinc.txt;93,47;-1,89;1,10;78,90;84,04;89,85;0,31;0,33;0,00;-;Óxido de Zinc drx.txt;-;0º;160 mW
8;932893164;Naranja Cadmio;0;Naranja Cadmio.txt;50,96;50,73;46,28;29,70;19,23;4,50;0,55;0,35;600,00;rO;Naranja Cadmio drx.txt;Naranja Cadmio ir.txt;30º;78,5 mW
1;965040524;Óxido de Titanio;0;Óxido de Titanio.txt;90,00;-1,32;2,15;71,87;76,30;80,12;0,31;0,33;0,00;-;Óxido de Titanio drx.txt;Óxido de Titanio ir.txt;0;160 mW
10;965208962;Sombra Tostada;0;Sombra Tostada.txt;33,48;4,13;6,93;7,81;7,76;6,54;0,35;0,35;585,00;yO;Sombra Tostada drx.txt;Sombra Tostada ir.txt;30º;78,5 mW
6;965212278;Negro de Humo;0;Negro de Humo.txt;24,49;-1,12;0,94;3,96;4,25;4,44;0,31;0,33;0,00;-;Negro de Humo drx.txt;-;30º;78,5 mW
6;1265606333;Negro Marfil;0;Negro Marfil.txt;24,33;-0,90;1,59;3,93;4,20;4,26;0,31;0,33;0,00;-;Negro Marfil drx.txt;Negro Marfil ir.txt;30º ;78,5 mW
3;1437408643;Ftalocianina Azul;0;Ftalocianina Azul.txt;60,14;-6,39;-32,68;25,33;28,27;59,94;0,22;0,24;479,00;B;Ftalocianina Azul drx.txt;Ftalocianina Azul ir.txt;60º;7,3 mW
4;1623894932;Violeta de cobalto;0;Violeta de cobalto.txt;30,65;17,76;-22,89;7,96;6,50;15,00;0,27;0,22;565,00;YG;Violeta de cobalto drx.txt;Violeta de cobalto ir.txt;60º;7,3 mW
6;1661435110;Óxido de Hierro Negro Sintético;0;Óxido de Hierro Negro Sintético.txt;25,28;-0,17;2,44;4,26;4,50;4,41;0,32;0,34;0,00;-;Óxido de Hierro Negro Sintético drx.txt;Óxido de Hierro Negro Sintético ir.txt;0;0
10;1735715845;Óxido de Hierro Pardo;0;Óxido de Hierro Pardo.txt;36,68;11,94;16,96;10,37;9,36;5,48;0,41;0,37;587,00;O;Óxido de Hierro Pardo drx.txt;Óxido de Hierro Pardo ir.txt;0º;160 mW
2;1818416203;Verde de Cromo Permanente;1;Verde de Cromo Permanente.txt;57,26;-35,78;10,63;16,68;25,18;21,05;0,26;0,40;511,00;G;Verde de Cromo Permanente drx.txt;Verde de Cromo Permanente ir.txt;60º;7,3 mW
8;1831014166;Naranja de Cromo;0;Naranja de Cromo.txt;52,19;45,93;45,72;29,83;20,31;5,04;0,54;0,36;598,00;O;Naranja de Cromo drx.txt;Naranja de Cromo ir.txt;60º;7,3 mw
9;1832171382;Rojo quermes;0;Rojo quermes.txt;43,39;51,78;33,71;22,16;13,42;4,40;0,55;0,33;608,00;rO;Rojo quermes drx.txt;Rojo quermes ir.txt;60º;7,3 mW
2;1904273445;Verde Aftalo Medio;0;Verde Aftalo Medio.txt;55,71;-29,25;15,54;16,65;23,62;17,18;0,28;0,41;534,00;yG;Verde Aftalo Medio drx.txt;Verde Aftalo Medio ir.txt;60º;7,3 mW
1;1923900685;Blanco España;0;Blanco España.txt;86,53;-0,49;6,20;65,39;69,05;67,50;0,32;0,34;0,00; -;Blanco España drx.txt;Blanco España ir.txt;0º;160 mW
9;2144062790;Bermellón;0;Bermellón.txt;49,43;47,97;25,57;27,31;17,94;9,03;0,50;0,33;610,00;rO;Bermellón drx.txt;Bermellón ir.txt;0º;160 mW
