-1953718434;Artificial, preparado artificialmente con diferentes procesos, en la antig³edad se obtenÝa por reacci¾n de plomo metßlico con ßcido acÚtico. Industrialmente se obtiene desde el a±o 1600, fue el pigmento blanco mßs importante hasta el siglo XIX; despuÚs se sustituy¾ parcialmente por el blanco de zinc, y en el siglo XX por el blanco de titanio.El blanco de plomo es el principal color de la pintura al ¾leo porque es el que se adapta a mayor n·mero de colores, es muy opaco y posee gran poder cubriente. Seca bien por sÝ mismo y facilita la desecaci¾n de los colores con que se mezcla; es muy sensible a las emanaciones sulfurosas que lo ennegrece. Es uno de los pigmentos mßs duros y se solidifica bien. Reacciona con los ßcidos grasos de los aceites empleados en la tÚcnica pict¾rica y forma con ellos jabones (saponificaci¾n.) Estos jabones fomentan el secado, hacen que la pelÝcula de pintura al ¾leo seca resulte insensible frente a la humedad, favorecen su elasticidad, su poder de adherencia, su flexibilidad y aumenta al mismo tiempo su dureza.Se agrieta o cuartea difÝcilmente y por la escasa proporci¾n de aceite que requiere es el blanco mßs apreciado para las capas inferiores de pinturas e imprimaciones. Aunque amarillea si se seca en la oscuridad o es atacado por la humedad.La capacidad cubriente y colorante del blanco de plomo es buena. Es sensible a los ßcidos y a los ßlcalis; en las tÚcnicas de la cal, del fresco y del vidrio lÝquido no se puede emplear al igual que en las tÚcnicas acuosas. En el temple se utiliza por su cualidad cubriente, pero es necesario barnizarlo para que no ennegrezca; esto tambiÚn ocurre si en la cola intervienen sustancias ßcidas. Es el clßsico blanco de la tÚcnica pict¾rica al ¾leo.
-547207753;Estos pigmentos rojos naturales se obtienen ya sea de rocas fÚrricas que contienen arcillas descompuestas por acci¾n meteorol¾gica (ocre rojo) o de mediante lavado y posterior molienda. Cabe suponer que este tipo de pigmentos, en regiones volcßnicas, se ha producido por cochura natural de los ocres amarillos.En cuanto a composici¾n, propiedades e idoneidad tecno-pict¾rica se parecen a los ocres amarillos. Son extraordinariamente resistentes ante la luz, pueden emplearse en todas las tÚcnicas pict¾ricas y son compatibles con todos los pigmentos. Algunas especies pueden contener sulfatos y espesan entonces en vidrio lÝquido. Ya desde la Úpoca glacial eran empleados como pigmentos.Los fondos pigmentados con bolo rojo constituÝan en el siglo XVII, y a·n antes, una moda que mßs tarde pudo una y otra vez conducir a toda clase de contrariedades cuando finas partÝculas coloidales de bolo atravesaban la capa de pintura haciÚndose visibles en la superficie del cuadro. Ocres rojos muy grasos ricos en arcilla se emplean como pulimento en el dorado brillante. Constituyen el autÚntico soporte del oro y hacen con su suavidad que el oro adherido pueda pulimentarse.Los ocres rojos naturales que pueden disponerse hoy no corresponden frecuentemente con los ni cuantitativamente ni cualitativamente a las exigencias de los fabricantes usuarios de colores para artistas en cuanto a belleza de color y uniformidad de resultados se refiere.
-833397323;El mineral Greenockita nunca se ha encontrado como pigmento. El compuesto artificial normalmente se prepara por reacci¾n, en medio acuoso, de una sal soluble de  cadmio, (las principales son sulfatos, cloruros, nitratos, yoduro y con  frecuencia se encuentran asociadas a menas de zinc) con H2S, Na2S, (NH4)2S, BaS, en un pH ßcido compatible con la precipitaci¾n del CdS insoluble.El amarillo Cadmio se introdujo en la pintura al ¾leo en 1829 por Melandri, pero comercialmente s¾lo desde 1846. Inicialmente era bastante caro por lo que su uso fue limitado, pero su uso se extendi¾ bastante en este siglo con la disminuci¾n en el coste de fabricaci¾n.El Amarillo de Cadmio es un pigmento con buena resistencia a la luz, pero si se expone a la luz tiende a descargarse, debido a la formaci¾n de sulfatos. A temperaturas ordinarias, no se ve afectado por el aire, H2S, SO2, humedad, ßcidos diluidos y ßlcalis; fßcilmente se disuelve en ßcidos minerales concentrados produciendo H2 gas. Este amarillo tiene muy buena estabilidad tÚrmica, con fuertes calentamiento se quema, transformßndose en ¾xido de cadmio de color amarillo-marr¾n.No es compatible con el verde VeronÚs ni el verde Esmeralda (CuS negro) ni con pigmentos que contengan plomo porque se forma PbS. Se emplea en pintura, tinta, plßsticos, vidrio, cerßmica, cuero, cosmÚticos. Se obtienen buenos resultados en ¾leo y tÚmpera. No se usa mucho en frescos, ya que incluso peque±as cantidades de impurezas pueden causar la pÚrdida de intensidad y decoloraci¾n.
-2003110340;Artificial, obtenido a partir de soluciones o suspensiones de PbNO3, Pb(CH3COO)2, PbCl2 con disoluciones de cromatos alcalinos o dicromatos. TambiÚn se puede preparar mezclando PbO con una pasta de un cromato alcalino. El mineral natural, crocoita, es muy raro y no se ha utilizado como pigmento.El cromo se descubri¾ en 1797 y el PbCrO4 se prepar¾ por primera vez a los pocos a±os. Desde 1804-1809 se ha empleado en pinturas. La producci¾n comercial empez¾ en 1814-1816, ahora tiene un uso limitado porque es venenoso.Cuando es quÝmicamente puro es bastante estable a la luz pero con frecuencia se observa que se vuelve marr¾n con el paso del tiempo, debido al ennegrecimiento fotoquÝmico o a la acci¾n del H2S que lo transforma en PbS, especialmente en un medio acuoso. Si se expone a la luz solar intensa tambiÚn puede gradualmente volverse verde. No es soluble en agua o en otros medios para pintar, es sensible a los ßlcalis con alteraciones en el color. Debido a su gran poder cubriente y su tono brillante se puede diluir.Algunas veces, especialmente cuando se mezcla con pigmentos orgßnicos, adquiere un tono verdoso favoreciendo los procesos de oxidaci¾n reducci¾n que lo transforman en ¾xido de cromo; en fresco con un medio alcalino, se transforma en la forma bßsica roja.Se utiliza con buenos resultados en tÚcnicas al ¾leo, donde estß protegido de los posibles cambios, mientras que en los colores al agua, acuarelas, la formaci¾n de PbS es mßs probable. No es ·til en el fresco porque el ßlcali podrÝa transformarlo en la forma bßsica que es de color rojo.
-933917056;Conocido desde principios del siglo XIX, aunque en pintura se utilizaron mßs tarde.Es sensible a los ßcidos y parcialmente soluble en agua, pueden producir, en exteriores, eflorescencias y son por ello inadecuados para el fresco, pese a su estabilidad frente a los ßlcalis. Su resistencia frente a la luz es buena, en aceite, sin embargo, probablemente por reducci¾n a la luz, se ha observado que verdea. La capacidad colorante y el poder cubriente son peque±os.
-1224772568;Vauquelin, el descubridor del cromo, descubri¾ en 1809 por primera vez el cromato de zinc y desde 1850 se fabrica como pigmento.El antiguo procedimiento de fabricaci¾n a partir de zinc, ßcido sulf·rico y subsiguiente precipitaci¾n con sales de cromo, parece haber sido la causa de la fuerte solubilidad en agua de los primitivos tipos de amarillo de zinc. De esos tiempos procede tambiÚn la prevenci¾n de que el amarillo de zinc pudiera producir eflorescencias en los cuadros al ¾leo si se humedecieran y que por lo tanto habÝa que evitarlos en la pintura al ¾leo. Hoy se precipita el amarillo de zinc de una soluci¾n de ¾xido de zinc y sulfato de zinc con otra de sal de cromo; a continuaci¾n se lava y se seca. Mediante la adici¾n de determinados productos quÝmicos puede mejorarse notablemente su solidez frente al agua. Para algunos fines, no obstante, se desea una cierta solubilidad en agua.  El amarillo de zinc resiste bien a la luz. La capacidad cubriente y el poder colorante son reducidos. En aceite se acelera el secado; su capacidad de formar jabones se eleva con el aumento de componentes solubles en agua. Con el aceite puede propender algo a adquirir tono verdoso. No es resistente contra los ßcidos y los ßlcalis. En pintura se usa el amarillo de zinc en el ¾leo, el temple y la acuarela; para esta ·ltima se prefiere los tipos solubles en agua.Permanente y bastante venenoso.
-655717905;Artificial, obtenido a partir de azufre, aluminio, sodio y sÝlice, todo puro y libre de hierro, calentados en ausencia de aire a alta temperatura. Se utiliza desde la primera mitad del siglo XIX; se sintetiz¾ por primera vez en 1828 por Gmelin y Guimet, pronto se convirti¾ en una alternativa mßs barata que el lapislßzuli natural.Se ha encontrado en reliquias asirias y babil¾nicas, pero s¾lo como piedra preciosa o decorativa; y en Europa como pigmento en el siglo XII. Todos los pigmentos ultramar son igual de permanentes en estado puro pero existen muchos grados inferiores, reducidos, para uso industrial. El ultramar es semitransparente; no funciona muy bien en ¾leos, donde tiende a formar pastas filamentosas y no cremosas. Es totalmente permanente en casi todas sus aplicaciones, incluyendo procesos a altas temperaturas, pero se blanquea fßcilmente por acci¾n de ßcidos muy dÚbiles y de vapores ßcidos; lo mismo sucede con el lapislßzuli natural.
2144062790;Natural del mineral del mismo nombre. Desde 1785 se fabrica industrialmente. La fabricaci¾n se hace principalmente por vÝa seca calentando mercurio y azufre. La modificaci¾n negra del sulfuro de mercurio se calienta, con lo cual se va primeramente el azufre libre y a continuaci¾n se sublima y recoge el sulfuro de mercurio rojo.Se usaba en China en tiempos muy antiguos. Las referencias europeas son del siglo VIII. TambiÚn se ha encontrado en reliquias asirias y otras culturas primitivas.El cinabrio es insoluble en ßlcalis y ßcidos, pero sÝ en ôagua regiaô, tiene un peso especÝfico elevado y, correspondientemente, un consumo muy reducido de aglutinante. Su capacidad cubriente es magnÝfica y su poder colorante es bueno. En aceite seca muy lentamente; trabajando con aglutinantes acuosos, a veces se endurece muy rßpidamente. La solidez frente a la luz es en todas las tÚcnicas de pintura muy mala porque se transforma en la variedad negra.
1923900685;Natural o sintÚtico. No se encuentra normalmente entre los colores artÝsticos de calidad. El carbonato cßlcico, el carbonato magnÚsico y el carbonato cßlcico y magnÚsico se incluyen tambiÚn bajo esta denominaci¾n. Se utilizan como extensores en los colores al ¾leo porque son menos reactivos que el carbonato cßlcico.La creta es esponjosa, blanda, hinchable seg·n los componentes arcillosos que contenga. Es resistente a la luz, poco soluble en agua, soluble en los ßcidos, e insoluble en los ßlcalis. Cubre con aglutinantes acuosos y es transparente en los ¾leos: su poder colorante es de moderado a bueno. Se emplea como pigmento en imprimaciones de cuadros (fondo de creta), como pigmento de mezcla en pinturas de cola al temple y de caseÝna, en pinturas de caseÝna y otras pinturas de emulsi¾n en agua; como imprimaci¾n en dorados; en masillas para restauraciones y en la fabricaci¾n de barras para pastel.
433926521;Natural, procedente del mineral baritina. Se refina moliÚndolo y algunas veces decolorßndolo, para reducir las trazas de hierro. SintÚtico, preparado precipitando sales solubles de bario. Se comercializ¾ como pigmento desde principios de 1800,en Francia, puro o mezclado con plomo (Vence) y con Blanco de Zinc (Litop¾n). TambiÚn se emple¾ en la preparaci¾n de lacas.Tanto el sulfato de bario natural como sintÚtico son bastante estables frente al cambio de color asÝ como a la exposici¾n a la luz, e interacci¾n con otros pigmentos. Es inerte a los ßcidos y a los ßlcalis y extremadamente insoluble en agua. No se oscurece por los sulfuros que haya en la atm¾sfera, ni es venenoso.En cuanto a las tÚcnicas en las que se emplea, es casi transparente al mezclarlo con aceite, por lo que no sirve para pintura al ¾leo, aunque sÝ es recomendado para acuarelas y fresco, medios en los que conserva su color blanco y su permanencia.
-1962310268;Laca fugaz que se obtiene de la cochinilla, un insecto de AmÚrica Central. Color desde rojo escarlata hasta p·rpura, de acuerdo con el soporte. No permanente a la luz, especialmente en tÚmpera y acuarela; se vuelve marr¾n bajo la exposici¾n a la luz solar. Ëleo, tÚcnica en la que es bastante estable, y acuarela, son las tÚcnicas favoritas para esta laca carmÝn.
-786568242;Laca fugaz que se obtiene de la cochinilla, un insecto de AmÚrica Central. Color desde rojo escarlata hasta p·rpura, de acuerdo con el soporte. No permanente a la luz, especialmente en tÚmpera y acuarela; se vuelve marr¾n bajo la exposici¾n a la luz solar. Ëleo, tÚcnica en la que es bastante estable, y acuarela, son las tÚcnicas favoritas para esta laca carmÝn.
-113531541;Embutici¾n de molibdato de plomo, incoloro, en el cromato de plomo amarillo.Su estrecho parentesco quÝmico con el amarillo de cromo crea propiedades tecno-pict¾ricas comparables. Cubre bien, su solidez a la luz es buena. Pueden emplearse en pinturas al aceite, acrÝlicas, al temple, a la cola y a la acuarela; no son estables ni frente a la cal ni frente al cemento.
1437408643;Tinte azul sintÚtico desarrollado en Inglaterra en 1935. AnhÝdrido ftßlico y urea con CuCl2 se tratan primero con una soluci¾n bßsica, y despuÚs con una ßcida; el s¾lido resultante se redisuelve en ßcido sulf·rico concentrado y finalmente se precipita en agua.Azul profundo, de color cian intenso o azul verdoso cuyas propiedades pigmentarias son similares a las del azul de Prusia, incluido su brillo de bronce cobrizo y su gran poder de tinci¾n usado en forma concentrada. Se reduce normalmente a±adiÚndole entre un 50 y un 75% de hidrato de al·mina o blanco fijo que tiende a eliminar el brillo de bronce, mejora sobre propiedades estructurales pobres y reduce su excesivo poder de tinci¾n. Su estabilidad es elevada respecto a cualquier agente; no es soluble en disolventes orgßnicos incluso en caliente, ni en ßlcalis, ni en la mayorÝa de los ßcidos, excepto en el ßcido fosf¾rico y en ßcido sulf·rico concentrado). Resistente a los agentes oxidantes y reductores.Es completamente permanente en todas las tÚcnicas de pintura y ha reemplazado al azul de Prusia, menos fiable, en la paleta del artista.
192318106;No existen notas actualmente
932893164;Los cadmios mßs modernos se fabrican con un mÚtodo similar al utilizado para fabricar litop¾n. Se introdujeron comercialmente en Inglaterra, en 1846. La sal se descubri¾ en 1817.S¾lo las pinturas al ¾leo y las acuarelas de mayor calidad contienen naranja de cadmio quÝmicamente puro, sin baritina. Se pueden decolorar con los pigmentos plomizos si no se protegen en aceite. Se oscurecen con la humedad.
1831014166;Igual que el amarillo de cromo pero con variaciones en el proceso de fabricaci¾n.Es opaco, funciona bien en ¾leos. Ni siquiera los mejores grados son permanentes, volviÚndose oscuro y verdoso. TambiÚn puede reaccionar con alg·n otro pigmento. Ha sido reemplazado para usos artÝsticos por los colores de cadmio.
965212278;Polvo fino, ligero y esponjoso obtenido al recoger el hollÝn resultante de quemar aceites.En uso desde tiempos prehist¾ricos, es el pigmento mßs antiguo conocido por el hombre. Permanente para todo tipo de pintura. Aunque debido a su lento secado no debe usarse para pintura debajo de otra pintura a no ser que estÚ mezclado con un color secante como el ocre oscuro.
1265606333;Artificial, obtenido por destilaci¾n seca de huesos desengrasados. Producido en el periodo helenista, no se emple¾ en la Edad Media, pero se hizo popular otra vez a finales de 1500.Estable, seca bien en aceite. Muy resistente a la luz y parcialmente soluble en ßcidos. Se decolora con pigmentos orgßnicos h·medos; estable en mezclas, excepto con amarillo de cadmio y azul de Prusia. Trabaja bien en acuarelas y ¾leo (porque seca rßpidamente), pero no es ·til para imprimaciones (primeras manos en pinturas al ¾leo). En fresco no debe emplearse junto con pigmentos orgßnicos.
-772304850;Se obtiene calcinando maderas selectas y otros productos vegetales aunque inicialmente se obtenÝa por carbonizaci¾n de pepitas de uvas.Los negros de vid mßs ricos en carbono y por lo tanto, mßs poderosamente colorantes, tienen una necesidad mßs elevada de aglutinante. Las pinturas al ¾leo preparadas con ellos secan por esa raz¾n algo mßs lentamente. Este negro es altamente resistente a la luz, al aire, a ßcidos y ßlcalis concentrados y en caliente, son compatibles con todos los pigmentos y aplicables a todas las tÚcnicas. En pintura mural, son utilizables solamente los tipos en los que se hayan extraÝdo las sales capaces de eflorescer que pudieran contener.
